relative_humidity,clouds,temperature,dates
51.25,66.0,31.25,2022-10-01
59.88,51.88,28.12,2022-10-02
72.81,64.69,25.19,2022-10-03
64.5,51.83,27.33,2022-10-04
83.0,46.0,22.0,2022-10-05
63.12,55.25,28.25,2022-10-06
74.14,52.43,24.0,2022-10-07
68.46,52.92,25.85,2022-10-08
77.2,47.6,23.4,2022-10-09
78.6,53.4,23.4,2022-10-10
80.5,61.17,22.5,2022-10-11
68.9,60.7,25.2,2022-10-12
72.38,53.94,24.38,2022-10-13
76.09,55.82,23.64,2022-10-14
67.0,62.25,26.5,2022-10-15
77.57,56.43,24.29,2022-10-16
76.55,60.27,24.45,2022-10-17
69.14,55.93,25.36,2022-10-18
78.5,59.83,23.17,2022-10-19
79.67,62.0,24.0,2022-10-20
79.56,55.17,23.89,2022-10-21
79.33,58.25,23.83,2022-10-22
73.88,55.38,24.75,2022-10-23
62.6,57.4,27.5,2022-10-24
72.0,50.92,24.92,2022-10-25
83.0,59.33,22.5,2022-10-26
69.0,59.5,26.5,2022-10-27
68.25,55.5,26.75,2022-10-28
78.0,54.0,22.75,2022-10-29
64.14,58.21,27.43,2022-10-30
64.76,48.0,27.65,2022-10-31
61.71,52.86,28.57,2022-11-01
70.0,52.89,26.0,2022-11-02
78.0,64.2,24.0,2022-11-03
69.5,58.0,26.5,2022-11-04
64.31,57.15,27.62,2022-11-05
79.0,56.0,24.14,2022-11-06
76.33,66.67,23.67,2022-11-07
72.82,53.64,25.27,2022-11-08
74.71,58.29,24.57,2022-11-09
75.73,62.45,24.55,2022-11-10
73.5,56.67,24.0,2022-11-11
77.0,59.5,23.33,2022-11-12
76.25,57.75,23.62,2022-11-13
62.57,60.71,28.0,2022-11-14
59.28268817204301,47.994623655913976,30.251909933750202,2022-11-15
77.25,52.75,24.12,2022-11-16
72.5,54.2,25.6,2022-11-17
76.33,56.33,24.67,2022-11-18
59.28268817204301,47.994623655913976,30.251909933750202,2022-11-19
76.67,52.33,25.5,2022-11-20
78.22,60.22,24.89,2022-11-21
72.57,52.79,25.5,2022-11-22
61.0,58.2,28.4,2022-11-23
69.45,53.55,26.18,2022-11-24
65.33,54.83,27.17,2022-11-25
75.29,49.14,24.86,2022-11-26
65.0,55.0,28.2,2022-11-27
65.0,67.6,27.6,2022-11-28
62.78,59.22,27.33,2022-11-29
76.94,59.31,24.75,2022-11-30
56.5,65.5,30.5,2022-12-01
65.13,57.8,27.8,2022-12-02
70.5,58.67,26.0,2022-12-03
71.71,62.86,25.86,2022-12-04
65.17,55.33,27.5,2022-12-05
72.6,65.2,26.0,2022-12-06
66.8,63.0,27.3,2022-12-07
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-08
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-09
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-10
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-11
64.94,59.0,26.69,2022-12-12
58.33,64.17,29.17,2022-12-13
67.7,54.9,25.7,2022-12-14
53.5,55.25,30.5,2022-12-15
74.86,61.29,24.71,2022-12-16
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-17
65.4,55.2,26.2,2022-12-18
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-19
58.75,47.25,27.75,2022-12-20
60.11,48.11,28.67,2022-12-21
59.2,52.8,28.4,2022-12-22
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-23
71.67,53.0,25.33,2022-12-24
61.38,48.25,29.25,2022-12-25
52.0,42.0,32.0,2022-12-26
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-27
57.5,49.67,30.0,2022-12-28
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-29
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-30
59.28268817204301,47.994623655913976,30.251909933750202,2022-12-31
59.28268817204301,47.994623655913976,30.251909933750202,2023-01-01
